rank,game,flash_era,portal_evidence,confidence,notes
1,Happy Wheels,2010s,"Official site: long-lived users/levels/replays; official listing claims over 1B online plays",High,"Exceptional reach, user-generated content, and longevity"
2,Kingdom Rush,2011,"Armor Games 75M plays; Kongregate 22.1M; CrazyGames top list",High,"Strongest directly observed portal reach plus franchise legacy"
3,Bloons TD 5,2011,"Kongregate 35.5M plays; CrazyGames top list; Ninja Kiwi official Flash archive",High,"Major Bloons entry with large observed portal reach"
4,The Impossible Quiz,2007,"CrazyGames top list; Web Design Museum most-popular archive",High,"Cross-site cultural recognition and viral puzzle format"
5,Learn to Fly 2,2011,"Kongregate 32.1M plays; official app listing says series played over 30M times",High,"Very high measured reach and durable franchise"
6,The Last Stand 2,2008,"Armor Games 29M plays; series/Union City also highly played",High,"High portal reach and strong genre recognition"
7,Kingdom Rush Frontiers,2013,"Armor Games 44M plays; Kongregate 10.8M; CrazyGames top list",High,"Very high observed reach"
8,Raze,2010,"Armor Games 36M plays",High,"High observed reach and cross-site shooter recognition"
9,Warfare 1917,2008,"Armor Games 45M plays; CrazyGames top list",High,"One of the highest Armor totals"
10,Crush the Castle 2,2010,"Armor Games 34M plays",High,"High observed reach and recognizable physics-action series"
11,Fancy Pants Adventures,2006,"Armor Games 15M plays; broad retrospective recognition",High,"Cross-site platforming icon and console/mobile continuation"
12,Desktop Tower Defense,2007,"CrazyGames top list; major early tower-defense landmark",Medium,"High cultural impact despite weak surviving comparable counts"
13,Motherload,2004,"CrazyGames top list; long-running classic portal title",Medium,"Early high-recognition mining/upgrade game"
14,Fireboy and Watergirl in the Forest Temple,2009,"Broad distribution on school/casual portals; current Flash-tag visibility",Medium,"One of the most recognizable cooperative browser series entries"
15,Papa's Freezeria,2011,"CrazyGames top list; Papa's series is heavily represented on Flash pages",High,"Large casual audience and strong series discoverability"
16,GemCraft Labyrinth,2011,"Armor Games 28M plays",High,"High measured reach and influential tower-defense/RPG hybrid"
17,Strike Force Heroes 2,2013,"Armor Games 28M plays; Kongregate 5.4M; CrazyGames top list",High,"Strong measured reach across portals"
18,The Last Stand: Union City,2011,"Armor Games 26M plays",High,"High measured reach and major series entry"
19,Crush the Castle,2009,"Armor Games 27M plays",High,"High measured reach and foundational series entry"
20,The World's Hardest Game,2007,"Armor Games 16M plays; CrazyGames top list",High,"High portal count and exceptional name recognition"
21,Stick War,2009,"CrazyGames top list; broad portal distribution",High,"Highly recognizable strategy/physics series"
22,Super Smash Flash 2,2009,"Broad Newgrounds/Flash community presence",Medium,"Large fan-game audience and enduring recognition"
23,Bloons TD 4,2010,"CrazyGames top list; Armor/Bloons portal presence; Ninja Kiwi archive",High,"Major Bloons release"
24,Papa's Pizzeria,2007,"CrazyGames top list; broad school/casual-portal distribution",High,"Flagship Papa's game"
25,Sonny 2,2009,"Armor Games 26M plays",High,"High measured reach and influential RPG"
26,Warfare 1944,2009,"Armor Games 38M plays; CrazyGames top list",High,"Very high measured reach"
27,GemCraft Chapter 0,2008,"Armor Games 27M plays",High,"High measured reach and influential series origin"
28,Raze 2,2011,"Armor Games 29M plays",High,"High measured reach"
29,Learn to Fly 3,2015,"Kongregate 6.7M plays; established franchise",High,"Strong later-era Flash reach"
30,Red Ball 4,2014,"Broad casual-portal distribution and current Flash preservation visibility",Medium,"Recognizable platforming series"
31,Portal: The Flash Version,2007,"Broad historical recognition and Flash fan-game distribution",Medium,"High cultural visibility through association with Portal"
32,The Visitor,2007,"CrazyGames top list; Web Design Museum archive",High,"Widely remembered point-and-click horror/puzzle title"
33,Fleeing the Complex,2015,"Kongregate 1.6M plays; CrazyGames top list",High,"Henry Stickmin entry with strong modern discoverability"
34,Infiltrating the Airship,2013,"CrazyGames top list; Henry Stickmin series recognition",High,"Popular narrative-choice entry"
35,Age of War,2006,"CrazyGames top list; broad portal distribution",High,"Highly recognizable strategy title"
36,Bloons TD 3,2008,"CrazyGames top list; Ninja Kiwi official Flash archive",High,"Important Bloons entry"
37,Gunblood,2010,"CrazyGames top list; Web Design Museum most-popular archive",High,"High discoverability and memorable duel mechanic"
38,Toss the Turtle,2009,"Armor Games 12.36M plays, 25,874 ratings, 14,065 favorites",High,"Verified portal-level reach"
39,Hobo,2008,"Armor Games 12M plays; CrazyGames top list",High,"High measured reach and strong nostalgia signal"
40,Super Mario 63,2009,"Web Design Museum most-popular archive; large fan-game recognition",Medium,"Highly visible Mario fan project"
41,Line Rider,2006,"Broad cultural recognition and user-generated track ecosystem",High,"Flash-era internet cultural landmark"
42,Alien Hominid,2004,"Newgrounds flagship/community history; console continuation",High,"Important Flash-to-commercial-indie crossover"
43,Madness: Project Nexus (Classic),2012,"CrazyGames top list; Newgrounds community prominence",High,"Major Madness Combat game"
44,Raft Wars,2007,"Broad casual-portal distribution; current Flash-tag visibility",Medium,"Recognizable physics/puzzle title"
45,Bloxorz,2007,"CrazyGames top list; broad portal distribution",High,"Highly recognizable puzzle game"
46,Gold Miner,2003,"CrazyGames top list; broad casual-portal distribution",High,"One of the most ubiquitous casual browser titles"
47,Mahjong Connect (Legacy),2000s,"CrazyGames top game; legacy casual distribution",High,"Current top placement reflects enduring reach, though counts are not historical"
48,Swords and Sandals 2,2007,"CrazyGames top list; Web Design Museum most-popular archive",High,"Recognizable RPG/arena series entry"
49,Bubble Tanks 2,2007,"Armor Games 13M plays",High,"Verified portal reach and series recognition"
50,Burrito Bison Revenge,2011,"Broad portal distribution and strong casual-game recognition",Medium,"Popular launch/upgrade arcade series"
