delivery_index,destination_id,forecast_expected_net_profit,good_id,market_pressure_after,quantity_delivered,quantity_purchased,route_id,sale_price_after,sale_price_before,seed,status,choice
1,reedwatch,99,water,0.28,7,7,old_road,23,32,1,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,1,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,1,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,2,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,2,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,2,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,3,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,3,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,3,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,4,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,4,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,4,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,5,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,5,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,5,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,6,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,11,12,old_road,25,31,6,completed,water → reedwatch / old_road
3,reedwatch,156,medicine,0.306,9,9,old_road,42,60,6,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,7,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,7,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,7,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,8,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,8,completed,water → reedwatch / old_road
